DP_X,DP_Y,Baseline_X,Baseline_Y,Fit_X,Fit_Y,NDH_X,NDH_Y
3.333333,-0.135148,,,,,,
3.35,-0.138316,,,,,,
3.366667,-0.143374,,,,,,
3.383333,-0.153562,,,,,,
3.4,-0.157991,,,,,,
3.416667,-0.163759,,,,,,
3.433333,-0.167567,,,,,,
3.45,-0.169895,,,,,,
3.466667,-0.174034,,,,,,
3.483333,-0.180132,,,,,,
3.5,-0.18247,,,,,,
3.516667,-0.186518,,,,,,
3.533333,-0.190617,,,,,,
3.55,-0.188285,,,,,,
3.566667,-0.188453,,,,,,
3.583333,-0.195171,,,,,,
3.6,-0.19523,,,,,,
3.616667,-0.202048,,,,,,
3.633333,-0.208016,,,,,,
3.65,-0.211234,,,,,,
3.666667,-0.210933,,,,,,
3.683333,-0.216241,,,,,,
3.7,-0.216125,,,,,,
3.716667,-0.211849,,,,,,
3.733333,-0.215143,,,,,,
3.75,-0.217638,,,,,,
3.766667,-0.215122,,,,,,
3.783333,-0.218226,,,,,,
3.8,-0.22299,,,,,,
3.816667,-0.225795,,,,,,
3.833333,-0.224769,,,,,,
3.85,-0.222663,,,,,,
3.866667,-0.221977,,,,,,
3.883333,-0.226812,,,,,,
3.9,-0.226336,,,,,,
3.916667,-0.22592,,,,,,
3.933333,-0.225774,,,,,,
3.95,-0.227469,,,,,,
3.966667,-0.229203,,,,,,
3.983333,-0.231897,,,,,,
4,-0.227311,,,,,,
4.016667,-0.228656,,,,,,
4.033333,-0.22805,,,,,,
4.05,-0.227874,,,,,,
4.066667,-0.229258,,,,,,
4.083333,-0.230033,,,,,,
4.1,-0.228527,,,,,,
4.116667,-0.227921,,,,,,
4.133333,-0.225735,,,,,,
4.15,-0.22914,,,,,,
4.166667,-0.230804,,,,,,
4.183333,-0.230588,,,,,,
4.2,-0.226913,,,,,,
4.216667,-0.227023,,,,,,
4.233333,-0.228253,,,,,,
4.25,-0.230823,,,,,,
4.266667,-0.228593,,,,,,
4.283333,-0.230253,,,,,,
4.3,-0.231043,,,,,,
4.316667,-0.224833,,,,,,
4.333333,-0.227223,,,,,,
4.35,-0.230483,,,,,,
4.366667,-0.231563,,,,,,
4.383333,-0.234133,,,,,,
4.4,-0.232923,,,,,,
4.416667,-0.231923,,,,,,
4.433333,-0.231913,,,,,,
4.45,-0.227663,,,,,,
4.466667,-0.227753,,,,,,
4.483333,-0.224522,,,,,,
4.5,-0.222632,,,,,,
4.516667,-0.219342,,,,,,
4.533333,-0.222092,,,,,,
4.55,-0.222362,,,,,,
4.566667,-0.220772,,,,,,
4.583333,-0.220722,,,,,,
4.6,-0.223752,,,,,,
4.616667,-0.222152,,,,,,
4.633333,-0.219872,,,,,,
4.65,-0.219402,,,,,,
4.666667,-0.219712,,,,,,
4.683333,-0.221272,,,,,,
4.7,-0.220122,,,,,,
4.716667,-0.218933,,,,,,
4.733333,-0.219329,,,,,,
4.75,-0.214384,,,,,,
4.766667,-0.21653,,,,,,
4.783333,-0.217385,,,,,,
4.8,-0.215441,,,,,,
4.816667,-0.215236,,,,,,
4.833333,-0.214552,,,,,,
4.85,-0.215227,,,,,,
4.866667,-0.214393,,,,,,
4.883333,-0.212798,,,,,,
4.9,-0.205503,,,,,,
4.916667,-0.205919,,,,,,
4.933333,-0.207584,,,,,,
4.95,-0.20784,,,,,,
4.966667,-0.208075,,,,,,
4.983333,-0.206021,,,,,,
5,-0.204756,,,,,,
5.016667,-0.202822,,,,,,
5.033333,-0.205127,,,,,,
5.05,-0.205133,,,,,,
5.066667,-0.203968,,,,,,
5.083333,-0.202314,,,,,,
5.1,-0.199199,,,,,,
5.116667,-0.199764,,,,,,
5.133333,-0.19812,,,,,,
5.15,-0.195035,,,,,,
5.166667,-0.194531,,,,,,
5.183333,-0.193986,,,,,,
5.2,-0.195242,,,,,,
5.216667,-0.194417,,,,,,
5.233333,-0.192984,,,,,,
5.25,-0.192075,,,,,,
5.266667,-0.191296,,,,,,
5.283333,-0.190456,,,,,,
5.3,-0.190027,,,,,,
5.316667,-0.188428,,,,,,
5.333333,-0.185618,,,,,,
5.35,-0.188509,,,,,,
5.366667,-0.18535,,,,,,
5.383333,-0.18329,,,,,,
5.4,-0.177401,,,,,,
5.416667,-0.181562,,,,,,
5.433333,-0.182173,,,,,,
5.45,-0.180623,,,,,,
5.466667,-0.177704,,,,,,
5.483333,-0.176505,,,,,,
5.5,-0.177585,,,,,,
5.516667,-0.174576,,,,,,
5.533333,-0.171937,,,,,,
5.55,-0.172597,,,,,,
5.566667,-0.172838,,,,,,
5.583333,-0.172119,,,,,,
5.6,-0.171769,,,,,,
5.616667,-0.17036,,,,,,
5.633333,-0.169321,,,,,,
5.65,-0.170121,,,,,,
5.666667,-0.167122,,,,,,
5.683333,-0.165633,,,,,,
5.7,-0.166953,,,,,,
5.716667,-0.163774,,,,,,
5.733333,-0.163555,,,,,,
5.75,-0.163328,,,,,,
5.766667,-0.162013,,,,,,
5.783333,-0.161299,,,,,,
5.8,-0.157535,,,,,,
5.816667,-0.15455,,,,,,
5.833333,-0.151206,,,,,,
5.85,-0.157101,,,,,,
5.866667,-0.151437,,,,,,
5.883333,-0.147603,,,,,,
5.9,-0.147368,,,,,,
5.916667,-0.150084,,,,,,
5.933333,-0.14704,,,,,,
5.95,-0.145465,,,,,,
5.966667,-0.144191,,,,,,
5.983333,-0.143766,,,,,,
6,-0.141952,,,,,,
6.016667,-0.139138,,,,,,
6.033333,-0.138243,,,,,,
6.05,-0.142609,,,,,,
6.066667,-0.137845,,,,,,
6.083333,-0.1313,,,,,,
6.1,-0.133016,,,,,,
6.116667,-0.133061,,,,,,
6.133333,-0.128017,,,,,,
6.15,-0.125203,,,,,,
6.166667,-0.127128,,,,,,
6.183333,-0.124104,,,,,,
6.2,-0.12173,,,,,,
6.216667,-0.121895,,,,,,
6.233333,-0.121411,,,,,,
6.25,-0.122136,,,,,,
6.266667,-0.119925,,,,,,
6.283333,-0.116825,,,,,,
6.3,-0.116325,,,,,,
6.316667,-0.117326,,,,,,
6.333333,-0.114736,,,,,,
6.35,-0.112966,,,,,,
6.366667,-0.112227,,,,,,
6.383333,-0.112387,,,,,,
6.4,-0.111857,,,,,,
6.416667,-0.110998,,,,,,
6.433333,-0.110208,,,,,,
6.45,-0.107668,,,,,,
6.466667,-0.104029,,,,,,
6.483333,-0.100059,,,,,,
6.5,-0.101169,,,,,,
6.516667,-0.1033,,,,,,
6.533333,-0.10263,,,,,,
6.55,-0.1033,,,,,,
6.566667,-0.101031,,,,,,
6.583333,-0.100081,,,,,,
6.6,-0.098301,,,,,,
6.616667,-0.092841,,,,,,
6.633333,-0.090952,,,,,,
6.65,-0.090922,,,,,,
6.666667,-0.089272,,,,,,
6.683333,-0.086843,,,,,,
6.7,-0.086373,,,,,,
6.716667,-0.084283,,,,,,
6.733333,-0.081844,,,,,,
6.75,-0.081364,,,,,,
6.766667,-0.082844,,,,,,
6.783333,-0.083378,,,,,,
6.8,-0.080863,,,,,,
6.816667,-0.079417,,,,,,
6.833333,-0.076572,,,,,,
6.85,-0.075017,,,,,,
6.866667,-0.073852,,,,,,
6.883333,-0.074486,,,,,,
6.9,-0.074481,,,,,,
6.916667,-0.073926,,,,,,
6.933333,-0.072451,,,,,,
6.95,-0.072165,,,,,,
6.966667,-0.0726,,,,,,
6.983333,-0.072835,,,,,,
7,-0.07235,,,,,,
7.016667,-0.070024,,,,,,
7.033333,-0.068449,,,,,,
7.05,-0.066794,,,,,,
7.066667,-0.065089,,,,,,
7.083333,-0.063843,,,,,,
7.1,-0.063538,,,,,,
7.116667,-0.063063,,,,,,
7.133333,-0.062448,,,,,,
7.15,-0.061632,,,,,,
7.166667,-0.060707,,,,,,
7.183333,-0.060182,,,,,,
7.2,-0.059147,,,,,,
7.216667,-0.058261,,,,,,
7.233333,-0.057506,,,,,,
7.25,-0.056441,,,,,,
7.266667,-0.055525,,,,,,
7.283333,-0.05484,,,,,,
7.3,-0.053989,,,,,,
7.316667,-0.053138,,,,,,
7.333333,-0.052336,,,,,,
7.35,-0.051065,,,,,,
7.366667,-0.049724,,,,,,
7.383333,-0.048653,,,,,,
7.4,-0.047662,,,,,,
7.416667,-0.047201,,,,,,
7.433333,-0.04666,,,,,,
7.45,-0.046179,,,,,,
7.466667,-0.045528,,,,,,
7.483333,-0.044527,,,,,,
7.5,-0.043866,,,,,,
7.516667,-0.043324,,,,,,
7.533333,-0.042763,,,,,,
7.55,-0.042452,,,,,,
7.566667,-0.041841,,,,,,
7.583333,-0.04118,,,,,,
7.6,-0.040309,,,,,,
7.616667,-0.039548,,,,,,
7.633333,-0.039077,,,,,,
7.65,-0.038666,,,,,,
7.666667,-0.038585,,,,,,
7.683333,-0.038274,,,,,,
7.7,-0.038062,,,,,,
7.716667,-0.037691,,,,,,
7.733333,-0.03736,,,,,,
7.75,-0.037039,,,,,,
7.766667,-0.036688,,,,,,
7.783333,-0.036537,,,,,,
7.8,-0.036326,,,,,,
7.816667,-0.036009,,,,,,
7.833333,-0.035912,,,,,,
7.85,-0.035364,,,,,,
7.866667,-0.034547,,,,,,
7.883333,-0.03399,,,,,,
7.9,-0.033513,,,,,,
7.916667,-0.033256,,,,,,
7.933333,-0.033018,,,,,,
7.95,-0.033381,,,,,,
7.966667,-0.033354,,,,,,
7.983333,-0.033167,,,,,,
8,-0.03282,,,,,,
8.016667,-0.032573,,,,,,
8.033333,-0.032535,,,,,,
8.05,-0.032828,,,,,,
8.066667,-0.032661,,,,,,
8.083333,-0.032474,,,,,,
8.1,-0.032407,,,,,,
8.116667,-0.032229,,,,,,
8.133333,-0.032002,,,,,,
8.15,-0.031595,,,,,,
8.166667,-0.031268,,,,,,
8.183333,-0.030771,,,,,,
8.2,-0.030244,,,,,,
8.216667,-0.029896,,,,,,
8.233333,-0.029459,,,,,,
8.25,-0.028972,,,,,,
8.266667,-0.028765,,,,,,
8.283333,-0.028498,,,,,,
8.3,-0.02813,,,,,,
8.316667,-0.027684,,,,,,
8.333333,-0.02724,,,,,,
8.35,-0.026927,,,,,,
8.366667,-0.026863,,,,,,
8.383333,-0.0264,,,,,,
8.4,-0.025956,,,,,,
8.416667,-0.025673,,,,,,
8.433333,-0.025389,,,,,,
8.45,-0.025135,,,,,,
8.466667,-0.024982,,,,,,
8.483333,-0.024918,,,,,,
8.5,-0.024735,,,,,,
8.516667,-0.024741,,,,,,
8.533333,-0.024738,,,,,,
8.55,-0.024574,,,,,,
8.566667,-0.024341,,,,,,
8.583333,-0.023857,,,,,,
8.6,-0.023324,,,,,,
8.616667,-0.02287,,,,,,
8.633333,-0.022556,,,,,,
8.65,-0.022293,,,,,,
8.666667,-0.021719,,,,,,
8.683333,-0.021466,,,,,,
8.7,-0.021342,,,,,,
8.716667,-0.021249,,,,,,
8.733333,-0.021105,,,,,,
8.75,-0.020862,,,,,,
8.766667,-0.020678,,,,,,
8.783333,-0.020575,,,,,,
8.8,-0.020491,,,,,,
8.816667,-0.020458,,,,,,
8.833333,-0.020525,,,,,,
8.85,-0.020795,,,,,,
8.866667,-0.020895,,,,,,
8.883333,-0.020944,,,,,,
8.9,-0.021554,,,,,,
8.916667,-0.022134,,,,,,
8.933333,-0.022234,,,,,,
8.95,-0.022074,,,,,,
8.966667,-0.021954,,,,,,
8.983333,-0.021784,,,,,,
9,-0.021763,,,,,,
9.016667,-0.021863,,,,,,
9.033333,-0.021693,,,,,,
9.05,-0.021623,,,,,,
9.066667,-0.021733,,,,,,
9.083333,-0.021613,,,,,,
9.1,-0.021552,,,,,,
9.116667,-0.021632,,,,,,
9.133333,-0.021602,,,,,,
9.15,-0.021362,,,,,,
9.166667,-0.021392,,,,,,
9.183333,-0.021152,,,,,,
9.2,-0.020931,,,,,,
9.216667,-0.020851,,,,,,
9.233333,-0.020641,,,,,,
9.25,-0.020291,,,,,,
9.266667,-0.020001,,,,,,
9.283333,-0.019621,,,,,,
