DP_X,DP_Y,Baseline_X,Baseline_Y,Fit_X,Fit_Y,NDH_X,NDH_Y
0.083333,-0.000719,,,,,,
0.1,-0.000798,,,,,,
0.116667,-0.000797,,,,,,
0.133333,-0.000766,,,,,,
0.15,-0.000765,,,,,,
0.166667,-0.000954,,,,,,
0.183333,-0.000983,,,,,,
0.2,-0.000992,,,,,,
0.216667,-0.00093,,,,,,
0.233333,-0.000909,,,,,,
0.25,-0.000758,,,,,,
0.266667,-0.000557,,,,,,
0.283333,-0.000446,,,,,,
0.3,-0.000595,,,,,,
0.316667,-0.000424,,,,,,
0.333333,-0.000343,,,,,,
0.35,-0.000332,,,,,,
0.366667,0.000069,,,,,,
0.383333,0.0001,,,,,,
0.4,-0.000069,,,,,,
0.416667,-0.000078,,,,,,
0.433333,-0.000087,,,,,,
0.45,0.000194,,,,,,
0.466667,0.000275,,,,,,
0.483333,0.000546,,,,,,
0.5,0.000508,,,,,,
0.516667,0.000589,,,,,,
0.533333,0.00051,,,,,,
0.55,0.000161,,,,,,
0.566667,0.000092,,,,,,
0.583333,0.000303,,,,,,
0.6,0.000414,,,,,,
0.616667,0.000338,,,,,,
0.633333,0.000111,,,,,,
0.65,0.000144,,,,,,
0.666667,0.000438,,,,,,
0.683333,0.000701,,,,,,
0.7,0.000575,,,,,,
0.716667,0.000318,,,,,,
0.733333,0.000031,,,,,,
0.75,-0.000125,,,,,,
0.766667,-0.000332,,,,,,
0.783333,-0.000249,,,,,,
0.8,-0.000045,,,,,,
0.816667,0.000058,,,,,,
0.833333,0.000032,,,,,,
0.85,0.000235,,,,,,
0.866667,0.000358,,,,,,
0.883333,0.000232,,,,,,
0.9,0.000325,,,,,,
0.916667,0.000488,,,,,,
0.933333,0.000602,,,,,,
0.95,0.000415,,,,,,
0.966667,0.000509,,,,,,
0.983333,0.000462,,,,,,
1,0.000375,,,,,,
1.016667,0.000629,,,,,,
1.033333,0.000632,,,,,,
1.05,0.000235,,,,,,
1.066667,0.000119,,,,,,
1.083333,0.000112,,,,,,
1.1,0.000076,,,,,,
1.116667,0.00004,,,,,,
1.133333,0.000118,,,,,,
1.15,-0.000025,,,,,,
1.166667,-0.000118,,,,,,
1.183333,-0.0004,,,,,,
1.2,-0.000833,,,,,,
1.216667,-0.000956,,,,,,
1.233333,-0.000798,,,,,,
1.25,-0.000751,,,,,,
1.266667,-0.000784,,,,,,
1.283333,-0.000606,,,,,,
1.3,-0.000509,,,,,,
1.316667,-0.000502,,,,,,
1.333333,-0.000154,,,,,,
1.35,-0.000097,,,,,,
1.366667,-0.00006,,,,,,
1.383333,0.000138,,,,,,
1.4,0.000425,,,,,,
1.416667,0.000533,,,,,,
1.433333,0.00076,,,,,,
1.45,0.000907,,,,,,
1.466667,0.001265,,,,,,
1.483333,0.001302,,,,,,
1.5,0.001489,,,,,,
1.516667,0.001817,,,,,,
1.533333,0.002004,,,,,,
1.55,0.002061,,,,,,
1.566667,0.002139,,,,,,
1.583333,0.002036,,,,,,
1.6,0.001993,,,,,,
1.616667,0.002001,,,,,,
1.633333,0.00184,,,,,,
1.65,0.001841,,,,,,
1.666667,0.001642,,,,,,
1.683333,0.001173,,,,,,
1.7,0.001134,,,,,,
1.716667,0.001075,,,,,,
1.733333,0.000856,,,,,,
1.75,0.000567,,,,,,
1.766667,0.000528,,,,,,
1.783333,0.000299,,,,,,
1.8,0.000011,,,,,,
1.816667,-0.000128,,,,,,
1.833333,-0.000407,,,,,,
1.85,-0.000746,,,,,,
1.866667,-0.000805,,,,,,
1.883333,-0.001044,,,,,,
1.9,-0.001403,,,,,,
1.916667,-0.001612,,,,,,
1.933333,-0.001551,,,,,,
1.95,-0.00155,,,,,,
1.966667,-0.001309,,,,,,
