DP_X,DP_Y,Baseline_X,Baseline_Y,Fit_X,Fit_Y,NDH_X,NDH_Y
0.083333,-0.00179,,,,,,
0.1,-0.001185,,,,,,
0.116667,-0.001071,,,,,,
0.133333,-0.000966,,,,,,
0.15,-0.000812,,,,,,
0.166667,-0.000627,,,,,,
0.183333,-0.000623,,,,,,
0.2,-0.000458,,,,,,
0.216667,-0.000334,,,,,,
0.233333,-0.000169,,,,,,
0.25,-0.000055,,,,,,
0.266667,-0.000071,,,,,,
0.283333,0.000174,,,,,,
0.3,0.000538,,,,,,
0.316667,0.000763,,,,,,
0.333333,0.000937,,,,,,
0.35,0.001112,,,,,,
0.366667,0.001186,,,,,,
0.383333,0.001101,,,,,,
0.4,0.001175,,,,,,
0.416667,0.00131,,,,,,
0.433333,0.001464,,,,,,
0.45,0.001548,,,,,,
0.466667,0.001573,,,,,,
0.483333,0.001417,,,,,,
0.5,0.001342,,,,,,
0.516667,0.001146,,,,,,
0.533333,0.001081,,,,,,
0.55,0.001005,,,,,,
0.566667,0.00084,,,,,,
0.583333,0.000794,,,,,,
0.6,0.000509,,,,,,
0.616667,0.000173,,,,,,
0.633333,-0.000232,,,,,,
0.65,-0.000428,,,,,,
0.666667,-0.000613,,,,,,
0.683333,-0.000698,,,,,,
0.7,-0.000844,,,,,,
0.716667,-0.001169,,,,,,
0.733333,-0.001424,,,,,,
0.75,-0.00134,,,,,,
0.766667,-0.001265,,,,,,
0.783333,-0.00127,,,,,,
0.8,-0.001236,,,,,,
0.816667,-0.001141,,,,,,
0.833333,-0.001126,,,,,,
0.85,-0.001142,,,,,,
0.866667,-0.001267,,,,,,
0.883333,-0.001272,,,,,,
0.9,-0.001138,,,,,,
0.916667,-0.000913,,,,,,
0.933333,-0.000889,,,,,,
0.95,-0.000814,,,,,,
0.966667,-0.000669,,,,,,
0.983333,-0.000415,,,,,,
1,-0.00025,,,,,,
1.016667,-0.000055,,,,,,
1.033333,0.000019,,,,,,
1.05,0.000134,,,,,,
1.066667,-0.000021,,,,,,
1.083333,-0.000147,,,,,,
1.1,-0.000062,,,,,,
1.116667,-0.000107,,,,,,
1.133333,-0.000112,,,,,,
1.15,0.000002,,,,,,
1.166667,-0.000073,,,,,,
1.183333,0.000052,,,,,,
1.2,0.000097,,,,,,
1.216667,0.000362,,,,,,
1.233333,0.000467,,,,,,
1.25,0.000502,,,,,,
1.266667,0.000607,,,,,,
1.283333,0.000642,,,,,,
1.3,0.000776,,,,,,
1.316667,0.000671,,,,,,
1.333333,0.000476,,,,,,
1.35,0.000361,,,,,,
1.366667,0.000496,,,,,,
1.383333,0.000671,,,,,,
1.4,0.000906,,,,,,
1.416667,0.000961,,,,,,
1.433333,0.000946,,,,,,
1.45,0.00079,,,,,,
1.466667,0.000715,,,,,,
1.483333,0.00061,,,,,,
1.5,0.000435,,,,,,
1.516667,0.00011,,,,,,
1.533333,-0.000125,,,,,,
