,time (s),DP(μcal/s)
176,1.0,0.002409
177,2.0,0.004141
178,3.0,0.004303
179,4.0,0.001055
180,5.0,-0.007783
181,6.0,-0.015021
182,7.0,-0.024539
183,8.0,-0.033977
184,9.0,-0.047135
185,10.0,-0.063753
186,11.0,-0.077324
187,12.0,-0.088365
188,13.0,-0.101397
189,14.0,-0.112538
190,15.0,-0.124569
191,16.0,-0.13681
192,17.0,-0.147081
193,18.0,-0.153202
194,19.0,-0.158364
195,20.0,-0.165005
196,21.0,-0.168926
197,22.0,-0.176047
198,23.0,-0.179728
199,24.0,-0.186629
200,25.0,-0.190551
201,26.0,-0.197082
202,27.0,-0.204963
203,28.0,-0.204964
204,29.0,-0.209205
205,30.0,-0.213586
206,31.0,-0.214968
207,32.0,-0.219809
208,33.0,-0.22223
209,34.0,-0.227371
210,35.0,-0.231702
211,36.0,-0.230653
212,37.0,-0.232025
213,38.0,-0.234646
214,39.0,-0.236867
215,40.0,-0.240798
216,41.0,-0.24104
217,42.0,-0.241364
218,43.0,-0.242038
219,44.0,-0.243622
220,45.0,-0.244116
221,46.0,-0.244021
222,47.0,-0.244525
223,48.0,-0.246799
224,49.0,-0.250223
225,50.0,-0.251357
226,51.0,-0.251492
227,52.0,-0.248906
228,53.0,-0.24822
229,54.0,-0.248674
230,55.0,-0.251248
231,56.0,-0.254852
232,57.0,-0.255087
233,58.0,-0.250741
234,59.0,-0.256025
235,60.0,-0.253609
236,61.0,-0.252453
237,62.0,-0.255828
238,63.0,-0.255942
239,64.0,-0.257596
240,65.0,-0.25537
241,66.0,-0.252674
242,67.0,-0.255068
243,68.0,-0.257613
244,69.0,-0.256487
245,70.0,-0.259201
246,71.0,-0.256625
247,72.0,-0.25748
248,73.0,-0.258037
249,74.0,-0.255574
250,75.0,-0.254812
251,76.0,-0.254929
252,77.0,-0.252906
253,78.0,-0.253853
254,79.0,-0.25368
255,80.0,-0.254167
256,81.0,-0.257494
257,82.0,-0.253431
258,83.0,-0.254478
259,84.0,-0.254685
260,85.0,-0.252192
261,86.0,-0.255459
262,87.0,-0.255736
263,88.0,-0.258043
264,89.0,-0.25832
265,90.0,-0.257658
266,91.0,-0.255975
267,92.0,-0.254372
268,93.0,-0.255769
269,94.0,-0.256386
270,95.0,-0.254093
271,96.0,-0.25277
272,97.0,-0.251727
273,98.0,-0.250304
274,99.0,-0.252811
275,100.0,-0.252718
276,101.0,-0.254295
277,102.0,-0.250742
278,103.0,-0.251281
279,104.0,-0.251801
280,105.0,-0.25174
281,106.0,-0.25234
282,107.0,-0.25396
283,108.0,-0.25658
284,109.0,-0.25439
285,110.0,-0.25444
286,111.0,-0.256899
287,112.0,-0.251709
288,113.0,-0.247979
289,114.0,-0.253269
290,115.0,-0.248399
291,116.0,-0.248558
292,117.0,-0.245508
293,118.0,-0.245798
294,119.0,-0.245598
295,120.0,-0.245258
296,121.0,-0.243548
297,122.0,-0.243497
298,123.0,-0.245087
299,124.0,-0.246607
300,125.0,-0.247547
301,126.0,-0.245157
302,127.0,-0.243156
303,128.0,-0.242696
304,129.0,-0.243076
305,130.0,-0.245306
306,131.0,-0.245006
307,132.0,-0.241616
308,133.0,-0.237115
309,134.0,-0.241867
310,135.0,-0.236809
311,136.0,-0.240062
312,137.0,-0.239744
313,138.0,-0.237897
314,139.0,-0.235999
315,140.0,-0.234932
316,141.0,-0.237234
317,142.0,-0.236476
318,143.0,-0.235349
319,144.0,-0.235171
320,145.0,-0.239244
321,146.0,-0.234996
322,147.0,-0.236909
323,148.0,-0.234761
324,149.0,-0.235414
325,150.0,-0.235196
326,151.0,-0.232448
327,152.0,-0.232371
328,153.0,-0.230113
329,154.0,-0.227816
330,155.0,-0.227698
331,156.0,-0.227121
332,157.0,-0.226073
333,158.0,-0.226316
334,159.0,-0.227448
335,160.0,-0.22706
336,161.0,-0.227213
337,162.0,-0.225295
338,163.0,-0.222888
339,164.0,-0.22278
340,165.0,-0.222825
341,166.0,-0.22175
342,167.0,-0.220985
343,168.0,-0.221969
344,169.0,-0.221644
345,170.0,-0.217629
346,171.0,-0.217624
347,172.0,-0.219469
348,173.0,-0.217964
349,174.0,-0.216249
350,175.0,-0.216184
351,176.0,-0.217939
352,177.0,-0.215704
353,178.0,-0.214039
354,179.0,-0.212434
355,180.0,-0.213009
356,181.0,-0.212614
357,182.0,-0.214588
358,183.0,-0.210803
359,184.0,-0.209808
360,185.0,-0.211203
361,186.0,-0.211138
362,187.0,-0.212353
363,188.0,-0.207448
364,189.0,-0.205013
365,190.0,-0.200608
366,191.0,-0.201363
367,192.0,-0.201928
368,193.0,-0.202543
369,194.0,-0.204428
370,195.0,-0.201803
371,196.0,-0.19883
372,197.0,-0.196037
373,198.0,-0.194284
374,199.0,-0.193532
375,200.0,-0.194709
376,201.0,-0.195926
377,202.0,-0.195174
378,203.0,-0.194261
379,204.0,-0.188948
380,205.0,-0.188545
381,206.0,-0.190983
382,207.0,-0.18535
383,208.0,-0.185267
384,209.0,-0.185134
385,210.0,-0.182682
386,211.0,-0.182069
387,212.0,-0.184216
388,213.0,-0.183284
389,214.0,-0.181461
390,215.0,-0.179768
391,216.0,-0.178345
392,217.0,-0.175453
393,218.0,-0.17676
394,219.0,-0.175557
395,220.0,-0.177265
396,221.0,-0.172972
397,222.0,-0.173379
398,223.0,-0.173386
399,224.0,-0.169434
400,225.0,-0.166931
401,226.0,-0.161599
402,227.0,-0.162608
403,228.0,-0.163638
404,229.0,-0.160867
405,230.0,-0.160907
406,231.0,-0.161916
407,232.0,-0.161276
408,233.0,-0.159825
409,234.0,-0.158035
410,235.0,-0.155374
411,236.0,-0.157144
412,237.0,-0.157993
413,238.0,-0.154173
414,239.0,-0.150132
415,240.0,-0.152832
416,241.0,-0.153661
417,242.0,-0.152811
418,243.0,-0.15072
419,244.0,-0.14756
420,245.0,-0.147109
421,246.0,-0.142269
422,247.0,-0.143378
423,248.0,-0.141168
424,249.0,-0.137597
425,250.0,-0.136517
426,251.0,-0.133256
427,252.0,-0.132966
428,253.0,-0.133785
429,254.0,-0.134055
430,255.0,-0.133764
431,256.0,-0.131634
432,257.0,-0.129814
433,258.0,-0.130796
434,259.0,-0.129507
435,260.0,-0.129359
436,261.0,-0.12571
437,262.0,-0.123642
438,263.0,-0.121864
439,264.0,-0.120265
440,265.0,-0.118837
441,266.0,-0.117598
442,267.0,-0.11555
443,268.0,-0.114882
444,269.0,-0.110983
445,270.0,-0.111955
446,271.0,-0.113666
447,272.0,-0.110078
448,273.0,-0.10934
449,274.0,-0.109091
450,275.0,-0.110183
451,276.0,-0.104724
452,277.0,-0.100036
453,278.0,-0.102518
454,279.0,-0.101119
455,280.0,-0.100871
456,281.0,-0.099822
457,282.0,-0.096374
458,283.0,-0.095335
459,284.0,-0.095347
460,285.0,-0.092869
461,286.0,-0.09116
462,287.0,-0.091622
463,288.0,-0.090794
464,289.0,-0.091008
465,290.0,-0.088482
466,291.0,-0.086795
467,292.0,-0.085299
468,293.0,-0.084112
469,294.0,-0.082876
470,295.0,-0.083739
471,296.0,-0.086703
472,297.0,-0.086416
473,298.0,-0.08012
474,299.0,-0.082894
475,300.0,-0.082737
476,301.0,-0.078281
477,302.0,-0.078134
478,303.0,-0.074078
479,304.0,-0.074221
480,305.0,-0.073915
481,306.0,-0.076668
482,307.0,-0.073352
483,308.0,-0.073745
484,309.0,-0.072739
485,310.0,-0.071883
486,311.0,-0.073136
487,312.0,-0.06977
488,313.0,-0.068203
489,314.0,-0.067157
490,315.0,-0.06105
491,316.0,-0.057604
492,317.0,-0.061347
493,318.0,-0.062611
494,319.0,-0.059576
495,320.0,-0.060781
496,321.0,-0.060097
497,322.0,-0.058692
498,323.0,-0.059077
499,324.0,-0.061813
500,325.0,-0.061848
501,326.0,-0.057663
502,327.0,-0.059679
503,328.0,-0.057704
504,329.0,-0.05463
505,330.0,-0.052425
506,331.0,-0.05502
507,332.0,-0.053426
508,333.0,-0.052461
509,334.0,-0.051896
510,335.0,-0.053582
511,336.0,-0.050757
512,337.0,-0.054053
513,338.0,-0.050668
514,339.0,-0.051603
515,340.0,-0.052309
516,341.0,-0.048454
517,342.0,-0.046869
518,343.0,-0.047045
519,344.0,-0.04857
520,345.0,-0.048156
521,346.0,-0.050261
522,347.0,-0.048986
523,348.0,-0.045482
524,349.0,-0.044097
525,350.0,-0.044504
526,351.0,-0.046061
527,352.0,-0.046018
528,353.0,-0.044795
529,354.0,-0.046162
530,355.0,-0.046389
531,356.0,-0.042106
532,357.0,-0.040243
533,358.0,-0.03873
534,359.0,-0.039167
535,360.0,-0.039855
536,361.0,-0.039982
537,362.0,-0.040189
538,363.0,-0.039636
539,364.0,-0.039293
540,365.0,-0.03862
541,366.0,-0.038397
542,367.0,-0.038574
543,368.0,-0.038661
544,369.0,-0.038098
