,time (s),DP(μcal/s)
176,1.0,0.002168
177,2.0,0.002343
178,3.0,-0.002282
179,4.0,-0.014258
180,5.0,-0.025383
181,6.0,-0.044548
182,7.0,-0.066003
183,8.0,-0.087658
184,9.0,-0.104744
185,10.0,-0.118079
186,11.0,-0.129194
187,12.0,-0.139649
188,13.0,-0.144934
189,14.0,-0.1505
190,15.0,-0.157925
191,16.0,-0.16764
192,17.0,-0.170281
193,18.0,-0.172262
194,19.0,-0.175964
195,20.0,-0.179605
196,21.0,-0.182146
197,22.0,-0.185807
198,23.0,-0.190349
199,24.0,-0.18911
200,25.0,-0.187981
201,26.0,-0.193192
202,27.0,-0.195864
203,28.0,-0.194755
204,29.0,-0.197526
205,30.0,-0.200137
206,31.0,-0.199069
207,32.0,-0.2021
208,33.0,-0.199791
209,34.0,-0.200122
210,35.0,-0.203994
211,36.0,-0.202705
212,37.0,-0.204076
213,38.0,-0.204947
214,39.0,-0.204348
215,40.0,-0.20374
216,41.0,-0.206101
217,42.0,-0.206332
218,43.0,-0.205623
219,44.0,-0.206195
220,45.0,-0.208456
221,46.0,-0.207327
222,47.0,-0.208078
223,48.0,-0.208131
224,49.0,-0.209098
225,50.0,-0.208005
226,51.0,-0.208802
227,52.0,-0.205679
228,53.0,-0.205356
229,54.0,-0.203393
230,55.0,-0.20747
231,56.0,-0.206527
232,57.0,-0.206314
233,58.0,-0.206591
234,59.0,-0.207708
235,60.0,-0.207835
236,61.0,-0.208152
237,62.0,-0.204659
238,63.0,-0.203856
239,64.0,-0.209733
240,65.0,-0.20706
241,66.0,-0.208687
242,67.0,-0.209534
243,68.0,-0.207191
244,69.0,-0.202938
245,70.0,-0.203335
246,71.0,-0.204952
247,72.0,-0.205169
248,73.0,-0.204106
249,74.0,-0.204534
250,75.0,-0.207511
251,76.0,-0.207708
252,77.0,-0.206575
253,78.0,-0.201812
254,79.0,-0.200229
255,80.0,-0.203588
256,81.0,-0.20525
257,82.0,-0.205033
258,83.0,-0.204075
259,84.0,-0.203998
260,85.0,-0.20525
261,86.0,-0.206023
262,87.0,-0.203336
263,88.0,-0.205758
264,89.0,-0.202671
265,90.0,-0.204813
266,91.0,-0.205076
267,92.0,-0.204759
268,93.0,-0.206481
269,94.0,-0.203284
270,95.0,-0.203316
271,96.0,-0.205199
272,97.0,-0.203891
273,98.0,-0.202734
274,99.0,-0.207047
275,100.0,-0.208719
276,101.0,-0.209222
277,102.0,-0.209484
278,103.0,-0.206857
279,104.0,-0.207029
