,time (s),DP(μcal/s)
176,1.0,0.000967
177,2.0,0.001447
178,3.0,0.001567
179,4.0,-0.002614
180,5.0,-0.008324
181,6.0,-0.015524
182,7.0,-0.022854
183,8.0,-0.032404
184,9.0,-0.042414
185,10.0,-0.050525
186,11.0,-0.059258
187,12.0,-0.072931
188,13.0,-0.081865
189,14.0,-0.090098
190,15.0,-0.100132
191,16.0,-0.109285
192,17.0,-0.116659
193,18.0,-0.122802
194,19.0,-0.130476
195,20.0,-0.140089
196,21.0,-0.147343
197,22.0,-0.152846
198,23.0,-0.15796
199,24.0,-0.163233
200,25.0,-0.169607
201,26.0,-0.17182
202,27.0,-0.177424
203,28.0,-0.180837
204,29.0,-0.186091
205,30.0,-0.192174
206,31.0,-0.195308
207,32.0,-0.200131
208,33.0,-0.202484
209,34.0,-0.203308
210,35.0,-0.205821
211,36.0,-0.210415
212,37.0,-0.210518
213,38.0,-0.216242
214,39.0,-0.216715
215,40.0,-0.218439
216,41.0,-0.216733
217,42.0,-0.22208
218,43.0,-0.226616
219,44.0,-0.226953
220,45.0,-0.22684
221,46.0,-0.227776
222,47.0,-0.227063
223,48.0,-0.22808
224,49.0,-0.229287
225,50.0,-0.230703
226,51.0,-0.23657
227,52.0,-0.238957
228,53.0,-0.237344
229,54.0,-0.23723
230,55.0,-0.237207
231,56.0,-0.234184
232,57.0,-0.23531
233,58.0,-0.238847
234,59.0,-0.238414
235,60.0,-0.238911
236,61.0,-0.237987
237,62.0,-0.241074
238,63.0,-0.241821
239,64.0,-0.237438
240,65.0,-0.234974
241,66.0,-0.237621
242,67.0,-0.241348
243,68.0,-0.242184
244,69.0,-0.241221
245,70.0,-0.239548
246,71.0,-0.240985
247,72.0,-0.240932
248,73.0,-0.239802
249,74.0,-0.239892
250,75.0,-0.237272
251,76.0,-0.238672
252,77.0,-0.237192
253,78.0,-0.235451
254,79.0,-0.235841
255,80.0,-0.237031
256,81.0,-0.235261
257,82.0,-0.235571
258,83.0,-0.236971
259,84.0,-0.23832
260,85.0,-0.23716
261,86.0,-0.23611
262,87.0,-0.23141
263,88.0,-0.23321
264,89.0,-0.2348
265,90.0,-0.231779
266,91.0,-0.233299
267,92.0,-0.234809
268,93.0,-0.230499
269,94.0,-0.228879
270,95.0,-0.229109
271,96.0,-0.227318
272,97.0,-0.228868
273,98.0,-0.229648
274,99.0,-0.225838
275,100.0,-0.224638
276,101.0,-0.224228
277,102.0,-0.224777
278,103.0,-0.222129
279,104.0,-0.223592
280,105.0,-0.221274
281,106.0,-0.223117
282,107.0,-0.22216
283,108.0,-0.222013
284,109.0,-0.220876
285,110.0,-0.222558
286,111.0,-0.219851
287,112.0,-0.220554
288,113.0,-0.216477
289,114.0,-0.21562
290,115.0,-0.218272
291,116.0,-0.217395
292,117.0,-0.215138
293,118.0,-0.214391
294,119.0,-0.208954
295,120.0,-0.211286
296,121.0,-0.207799
297,122.0,-0.208022
298,123.0,-0.206805
299,124.0,-0.204848
300,125.0,-0.20613
301,126.0,-0.204983
302,127.0,-0.204976
303,128.0,-0.203659
304,129.0,-0.203522
305,130.0,-0.202195
306,131.0,-0.201257
307,132.0,-0.20321
308,133.0,-0.201363
309,134.0,-0.198178
310,135.0,-0.199333
311,136.0,-0.197169
312,137.0,-0.196365
313,138.0,-0.19404
314,139.0,-0.195066
315,140.0,-0.193511
316,141.0,-0.191707
317,142.0,-0.189513
318,143.0,-0.190768
319,144.0,-0.188534
320,145.0,-0.18352
321,146.0,-0.182575
322,147.0,-0.182681
323,148.0,-0.185086
324,149.0,-0.183972
325,150.0,-0.175758
326,151.0,-0.175883
327,152.0,-0.175119
328,153.0,-0.173935
329,154.0,-0.17501
330,155.0,-0.174446
331,156.0,-0.172021
332,157.0,-0.170977
333,158.0,-0.167413
334,159.0,-0.166448
335,160.0,-0.166624
336,161.0,-0.16524
337,162.0,-0.163095
338,163.0,-0.168661
339,164.0,-0.167796
340,165.0,-0.161094
341,166.0,-0.158223
342,167.0,-0.159521
343,168.0,-0.157579
344,169.0,-0.158278
345,170.0,-0.155626
346,171.0,-0.153764
