,coef,se,n,Tmix,Titc,koff,Kd,H,Pdil
n,0.7772150901410652,0.002411889014724163,1.0,0.023789054818311773,-0.47678629868356687,-0.24776722162007547,-0.9842975828377516,0.3644353247812754,0.09277921380231632
Tmix,3.5633607559331724,0.024313710715220184,0.023789054818313123,0.9999999999999998,-0.1112952337578134,-0.1489332129338437,-0.012780622076885906,-0.04824706697216322,0.07280829496700333
Titc,6.35680463134168,0.22040595191758922,-0.4767862986835678,-0.11129523375781446,1.0000000000000002,-0.029121180576043102,0.5005897176149418,-0.32196144099398855,0.05203381230623127
koff,0.019869135452108232,0.0005753809903420866,-0.2477672216200756,-0.14893321293384218,-0.02912118057604368,0.9999999999999998,0.12241300988329387,0.36199120450814376,-0.5155377693827633
Kd,0.061310571452124554,0.002333147829529138,-0.9842975828377513,-0.012780622076883123,0.5005897176149394,0.12241300988329366,1.0,-0.3806672157473943,-0.09022540512827057
H,-0.009853218299979162,6.28471713290354e-05,0.3644353247812748,-0.04824706697216265,-0.3219614409939863,0.3619912045081436,-0.3806672157473939,1.0,-0.7080190503882817
Pdil,-0.013239694123088737,0.0008046721394385365,0.09277921380231599,0.07280829496700658,0.052033812306230005,-0.5155377693827635,-0.09022540512827028,-0.7080190503882818,0.9999999999999998
