,coef,se,n,Tmix,Titc,pkoff,pKd,H,Hdil
n,0.6891554908685775,0.018913461535351627,1.0000000000000002,0.9875241667153409,-0.9870182630591728,0.9770413968560709,0.9731135452942518,-0.16422075874311404,0.9444935579268854
Tmix,3.6073707504589496,24.86351149357701,0.987524166716548,0.9999999999999999,-0.9999877226643058,0.9777749707988002,0.9792460815976681,-0.24095540322631537,0.9436223664314649
Titc,3.5150238296152736,24.67371461881377,-0.9870182630603848,-0.9999877226643112,0.9999999999999998,-0.9777445105035854,-0.979391444952492,0.24427510869532681,-0.9440848969284976
pkoff,-2.892067360580297,0.130845864849606,0.9770413968530904,0.9777749707945854,-0.977744510499367,1.0,0.9991886933926709,-0.34936243738711303,0.9795701325079472
pKd,-0.44266717259053184,0.14020497144536964,0.973113545291516,0.9792460815936993,-0.9793914449485183,0.9991886933929166,1.0,-0.37384884350612124,0.9816030697795411
H,-0.014109986794873759,8.946178111605333e-05,-0.16422075873327982,-0.24095540321605466,0.2442751086850651,-0.34936243737810524,-0.3738488434970377,0.9999999999999998,-0.45449135965291926
Hdil,-0.0010551660813583885,7.600202997001752e-05,0.9444935579224734,0.9436223664258419,-0.9440848969228703,0.9795701325064249,0.9816030697777793,-0.45449135966123294,1.0
