,coef,se,n,Tmix,Titc,koff,Kd,H,Hdil
n,0.7566275024155354,0.002827248478350126,0.9999999999999998,0.49681424926249745,-0.5614101032032933,0.7797639088743402,0.6426951008260585,0.12766335438730003,0.3937642202480624
Tmix,5.135721689449922,0.8197721771784863,0.4968142492624981,1.0,-0.9762469559261298,0.509771920212335,0.733127913148503,-0.1605992741148856,0.4485889428792894
Titc,7.289029926634001,0.8598650531664553,-0.5614101032032941,-0.9762469559261303,0.9999999999999999,-0.4918921031899885,-0.7151919562338596,0.10228726968640763,-0.43640258538215226
koff,0.09544345910630152,0.19594054028433122,0.77976390887434,0.5097719202123343,-0.491892103189988,1.0,0.7629309676446225,0.0398369736422089,0.32205768278665897
Kd,0.03402507621817873,0.004841227128814347,0.6426951008260585,0.7331279131485013,-0.7151919562338581,0.7629309676446223,0.9999999999999998,-0.30525232864082114,0.537813311985465
H,-0.009704553351445239,4.701530965883266e-05,0.1276633543873017,-0.16059927411488273,0.10228726968640474,0.039836973642210755,-0.3052523286408189,1.0,-0.646986422559867
Hdil,-0.0008623547483286426,3.100772894648456e-05,0.393764220248061,0.44858894287928613,-0.43640258538214877,0.3220576827866581,0.5378133119854633,-0.6469864225598679,1.0
