,coef,se,n,Tmix,Titc,pkoff,pKd,H,Hdil
n,0.7773102295689355,0.0018756713357852947,1.0000000000000002,0.16018885264660435,-0.3946142710850369,-0.12511837726013353,-0.004693291489947999,0.25947443700968914,0.0018584861104842087
Tmix,3.4489619068842194,0.3289578597747737,0.16018885264660562,0.9999999999999998,-0.8923351772428748,0.0747557763333816,0.22881081023077626,0.23185583861254194,-0.3648635036536754
Titc,7.384926678932156,0.38577366063904256,-0.3946142710850374,-0.8923351772428745,0.9999999999999999,-0.0028523130979271082,-0.1779368494571293,-0.348960599350035,0.39130156998698784
pkoff,-0.6633631496838037,0.1801038592862856,-0.125118377260133,0.07475577633337915,-0.0028523130979243266,1.0000000000000002,0.38783404192633214,-0.4942748654556339,0.47848185981718244
pKd,-1.237412669308507,0.027361602662253796,-0.0046932914899474095,0.22881081023077346,-0.17793684945712626,0.38783404192633214,1.0,-0.5776001023013823,0.4495210778202104
H,-0.009562008731586972,5.786148531668673e-05,0.2594744370096899,0.23185583861254414,-0.34896059935003804,-0.4942748654556332,-0.5776001023013811,1.0,-0.8261226908954604
Hdil,-0.0008568518586293722,3.690911885330448e-05,0.001858486110481788,-0.36486350365367975,0.39130156998699306,0.47848185981718105,0.44952107782020834,-0.8261226908954611,1.0
