,coef,se,n,Tmix,Titc,pkoff,pKd,H,Hdil
n,0.8448512755522858,0.006335888012852483,1.0,0.9231265610903484,0.4214704400612602,0.9370871759438156,0.6976228795805934,0.11099698434699101,0.7312325629442342
Tmix,2.3041143952115934,0.40134727600669173,0.9231265610903523,1.0,0.2989485542262481,0.9104763965835885,0.5890081876859543,0.26400919578926907,0.5557907053175124
Titc,15.67354837009393,0.26331479783963635,0.42147044006125406,0.29894855422624095,1.0000000000000002,0.6338924135370753,0.6814641636348097,-0.43666484505551434,0.6095969263295495
pkoff,-1.9055301708765828,0.06341993611016955,0.9370871759438144,0.9104763965835826,0.6338924135370818,0.9999999999999998,0.8137361112478695,-0.03658261583478386,0.7603695106376341
pKd,0.014568521686435116,0.015803702973339273,0.6976228795805822,0.5890081876859399,0.6814641636348111,0.8137361112478592,1.0,-0.5782266537307856,0.9231764843340697
H,-0.012940473006387123,7.7372963723883e-05,0.11099698434700696,0.26400919578928683,-0.436664845055509,-0.036582615834767365,-0.5782266537307719,1.0000000000000002,-0.5758811796418114
Hdil,-0.0005252482777311941,4.297726736474949e-05,0.7312325629442256,0.5557907053174987,0.6095969263295529,0.7603695106376261,0.9231764843340707,-0.5758811796418237,1.0
