,coef,se,n,Tmix,Titc,pkoff,pKd,H,Hdil
n,1.2035093542750632,0.022031439164488034,0.9999999999999998,0.9728024097590681,-0.42946771275553414,0.9892844554914828,0.9763018043087277,-0.848945528934092,0.9656303958818149
Tmix,2.799571759910738,1.064399404080057,0.9728024097590595,1.0,-0.549252243860504,0.9875866144173847,0.9286472739925479,-0.7310702163893894,0.891594959782049
Titc,14.083345213993324,0.2239288921732696,-0.4294677127555073,-0.5492522438604829,1.0000000000000002,-0.42628660814599295,-0.30471543938543605,0.07747761793042067,-0.2823185497154603
pkoff,-1.7932197440537823,0.21807168120731424,0.9892844554914791,0.9875866144173907,-0.42628660814601954,0.9999999999999999,0.9655649789924136,-0.8002100212841089,0.9331060958855875
pKd,0.013806013072698017,0.04023174181043019,0.9763018043087337,0.9286472739925619,-0.30471543938546053,0.9655649789924232,0.9999999999999999,-0.9201060048765894,0.9821991474439151
H,-0.013523025463072472,0.0001776170487777945,-0.8489455289341111,-0.7310702163894153,0.0774776179304534,-0.8002100212841307,-0.9201060048766032,0.9999999999999998,-0.9544499558911093
Hdil,-0.0005217596095828385,0.00019913574450450573,0.9656303958818241,0.8915949597820665,-0.2823185497154885,0.9331060958856002,0.9821991474439187,-0.9544499558910987,1.0000000000000002
